Trial	CURRENT_FIX_INTEREST_AREA_ID	Surprisal
1	1	1.3888
1	2	0.468065
1	3	2.3685
1	4	0.70063
1	5	1.46233
1	6	0.451562
1	7	1.41625
1	8	1.45943
1	9	0.804899
1	10	3.80196
1	11	1.25571
1	12	1.82744
1	13	1.37998
1	14	0.380491
1	15	0.48011
1	16	2.05594
1	17	0.6104435
1	18	1.6578755
1	19	0.8739945
1	20	0.810068
1	21	0.484783
1	22	0.349913
1	23	2.06683
1	24	0.821747
1	25	0.798286
1	26	1.09364
1	27	1.65685
1	28	1.98796
1	29	1.10993
1	30	0.447264
1	31	0.585859
1	32	0.48011
1	33	0.639772
1	34	0.5344545
1	35	0.940284
1	36	1.92053
1	37	0.56042
1	38	1.70103
1	39	1.35171
1	40	2.46025
1	41	1.42282
1	42	0.901407
1	43	0.568678
1	44	0.48475
1	45	0.349913
1	46	1.61734
1	47	2.19414
1	48	0.497054
1	49	1.110716
1	50	0.699607
1	51	3.45875
1	52	0.69928
1	53	0.171334
1	54	1.93829
1	55	4.08484
1	56	0.36321
1	57	0.790658
1	58	1.73797
1	59	1.13661
1	60	0.753948
1	61	0.330303
1	62	0.8619685
1	63	1.310245
1	64	1.052762
1	65	0.652157
1	66	0.220787
1	67	1.9616
1	68	0.716608
1	69	1.076515
1	70	1.1875
1	71	1.28449
1	72	2.3872
1	73	1.8848
1	74	1.31338
1	75	0.295356
1	76	0.623385
1	77	2.98734
1	78	0.042651
1	79	1.03108
1	80	1.12544
1	81	1.0856135
1	82	4.55907
1	83	0.884474
1	84	0.8265605
1	85	4.0417
1	86	0.962989
1	87	1.9846
1	88	0.210077
1	89	0.6985565
1	90	1.02839
1	91	0.795176
1	92	0.7036675
1	93	2.24939
1	94	1.31937
1	95	0.295356
1	96	1.375545
2	1	0.882805
2	2	0.404759
2	3	0.6866915
2	4	1.31198
2	5	0.574796
2	6	1.62568
2	7	0.685772
2	8	0.291491
2	9	0.53887
2	10	0.48011
2	11	0.639772
2	12	0.527226
2	13	1.1875
2	14	0.889624
2	15	0.924337
2	16	3.62727
2	17	0.828803
2	18	0.819119
2	19	1.22802
2	20	2.24713
2	21	0.748229
2	22	0.703711
2	23	0.283467
2	24	0.53887
2	25	3.81683
2	26	0.758394
2	27	0.644206
2	28	1.00945
2	29	1.2631
2	30	2.34367
2	31	4.31161
2	32	0.538457
2	33	1.31141
2	34	1.37106
2	35	1.0083
2	36	1.31406
2	37	0.931863
2	38	3.60958
2	39	0.793836
2	40	1.1875
2	41	0.579525
2	42	3.60958
2	43	0.793836
2	44	1.1875
2	45	0.579525
2	46	0.811007
2	47	3.80196
2	48	1.0445325
2	49	0.957715
2	50	0.965028
2	51	0.748229
2	52	0.811007
2	53	1.034496
2	54	1.94663
2	55	1.28827
2	56	1.49408
2	57	1.12544
2	58	0.7609575
2	59	1.35934
2	60	0.574796
2	61	1.22264
2	62	0.886468
2	63	3.81292
2	64	0.611474
2	65	1.02839
2	66	3.98162
2	67	0.538457
2	68	1.31141
2	69	0.805377
2	70	0.473952
2	71	1.10281
2	72	3.98068
2	73	0.783231
2	74	1.82744
2	75	0.747986
2	76	0.8759295
2	77	4.3892
2	78	0.231295
2	79	2.42692
2	80	1.72243
2	81	0.8961285
2	82	1.1875
2	83	0.579525
2	84	3.60958
2	85	1.17653
2	86	0.819119
2	87	0.640142
2	88	3.76686
2	89	0.490218
2	90	1.18383
2	91	1.12769
2	92	1.43184
2	93	2.30356
2	94	4.0953
2	95	1.2615285
2	96	0.638572
2	97	0.207042
2	98	1.82481
2	99	0.9610525
3	5	0.644206
3	6	0.6781615
3	7	0.926277
3	8	1.17011
3	9	2.63693
3	10	1.06657
3	11	3.63669
3	12	1.05946
3	13	0.174381
3	14	2.2526125
3	15	1.1875
3	16	1.1453
3	17	0.888622
3	18	4.85961
3	19	1.286482
3	20	1.27104
3	21	1.04651
3	22	3.63669
3	23	0.9206625
3	24	1.1875
3	25	1.1453
3	26	0.888622
3	27	4.85961
3	28	1.286482
3	29	1.27104
3	30	1.04651
3	31	3.63669
3	32	0.902578
3	33	1.1875
3	34	0.889624
3	35	3.81292
3	36	1.08673
3	37	1.27104
3	38	1.04651
3	39	3.63669
3	40	0.902578
3	41	0.882805
3	42	1.51429
3	43	1.13661
3	44	1.42368
3	45	0.620788
3	46	2.69914
3	47	1.0115372
3	48	0.901139
3	49	1.15122
3	50	0.9232
3	51	1.25077
3	52	2.00089
3	53	0.206867
3	54	1.00737
3	55	1.27862
3	56	1.981445
3	57	1.1875
3	58	2.75814
3	59	1.64543
3	60	1.930677
3	61	1.130265
3	62	4.3892
3	63	0.231295
3	64	0.8250335
3	65	1.50958
3	66	0.666172
3	67	1.92151
3	68	0.652708
3	69	0.424223
3	70	0.6866915
3	71	1.02839
3	72	1.742964
3	73	1.09693
3	74	0.596302
3	75	0.6866915
3	76	1.26242
3	77	1.62522
3	78	0.598688
3	79	0.967382
3	80	0.7517855
3	81	0.8961645
3	82	0.281637
3	83	0.870248
3	84	0.430447
3	85	0.349913
3	86	1.57145
3	87	0.779649
3	88	0.449122
3	89	0.640142
3	90	0.495327
3	91	0.7113065
4	1	2.21273
4	2	0.807514
4	3	0.892062
4	4	0.810068
4	5	0.484783
4	6	0.6866915
4	7	0.940284
4	8	0.691724
4	9	1.054812
4	10	0.745911
4	11	3.62727
4	12	0.674978
4	13	1.32909
4	14	1.512045
4	15	1.1875
4	16	0.889624
4	17	3.81292
4	18	1.42223
4	19	0.780649
4	20	0.495327
4	21	1.08119
4	22	1.75554
4	23	3.75373
4	24	1.31075
4	25	0.174381
4	26	1.41625
4	27	1.74809
4	28	1.97359
4	29	0.86329
4	30	0.424223
4	31	0.7113065
4	32	1.1875
4	33	1.1453
4	34	0.888622
4	35	1.608235
4	36	0.723277
4	37	0.663022
4	38	0.171334
4	39	1.694765
4	40	1.98796
4	41	1.26708
4	42	1.1875
4	43	1.29326
4	44	1.25487
4	45	1.262239
4	46	0.699607
4	47	1.310339
4	48	1.1875
4	49	0.8394245
4	50	1.38217
4	51	1.16239
4	52	0.929817
4	53	0.811007
4	54	0.473952
4	55	0.349913
4	56	1.471445
4	57	0.685311
4	58	0.305673
4	59	1.35055
4	60	1.25487
4	61	2.38525
4	62	1.1875
4	63	1.28449
4	64	2.3872
4	65	1.134065
4	66	1.1664
4	67	1.42368
4	68	1.78514
4	69	1.0767805
4	70	2.21273
4	71	0.807514
4	72	0.519238
4	73	1.46233
4	74	2.86838
4	75	1.12077
4	76	0.703711
4	77	0.283467
4	78	1.9014
4	79	1.4162305
4	80	1.1875
4	81	0.579525
4	82	1.53535
4	83	1.021165
4	84	1.1687
4	85	0.691724
4	86	0.171334
4	87	1.63213
4	88	1.17163
4	89	1.28275
4	90	0.991069
4	91	2.24537
4	92	2.11374
4	93	0.206899
4	94	0.757469
4	95	0.298652
4	96	0.8619685
4	97	1.1875
4	98	1.1453
4	99	0.888622
4	100	1.58196
4	101	2.48828
4	102	0.34893
4	103	1.33186
5	1	2.39986
5	2	0.174348
5	3	1.34299
5	4	0.728903
5	5	0.39368
5	6	1.5726
5	7	0.372336
5	8	0.81907
5	9	0.659706
5	10	1.73797
5	11	0.931863
5	12	1.05597
5	13	0.246436
5	14	1.34299
5	15	0.728903
5	16	0.39368
5	17	1.14297
5	18	1.28409
5	19	1.022263
5	20	0.926277
5	21	1.13617
5	22	0.719684
5	23	1.112925
5	24	0.7517855
5	25	0.998785
5	26	0.574796
5	27	1.98835
5	28	0.76822
5	29	0.685676
5	30	0.7517855
5	31	0.998785
5	32	0.574796
5	33	1.34287
5	34	1.61251
5	35	2.86864
5	36	0.653042
5	37	0.794733
5	38	1.01162
5	39	2.3619
5	40	0.744746
5	41	2.84366
5	42	1.34406
5	43	0.644206
5	44	0.332853
5	45	1.6353255
5	46	0.662958
5	47	0.691724
5	48	0.171334
5	49	1.63213
5	50	1.41942
5	51	0.598688
5	52	0.913409
5	53	1.07292
5	54	1.25059
5	55	0.931863
5	56	0.703711
5	57	0.283467
5	58	2.15149
5	59	0.70063
5	60	3.60958
5	61	1.17653
5	62	3.50031
5	63	0.332886
5	64	1.26625
5	65	0.973722
5	66	0.383865
5	67	0.8619685
5	68	2.03609
5	69	0.685917
5	70	0.656191
5	71	1.71461
5	72	1.309495
5	73	0.393974
5	74	1.34495
5	75	1.17163
5	76	1.28275
5	77	1.20777
5	78	0.931863
5	79	0.811007
5	80	1.19657
5	81	0.6744695
5	82	1.24777
5	83	1.18098
5	84	0.6975845
5	85	1.24777
5	86	1.02505
5	87	1.06767
6	1	1.24777
6	2	2.08271
6	3	0.693409
6	4	0.298652
6	5	1.57145
6	6	1.573965
6	7	1.438905
6	8	1.94663
6	9	0.535948
6	10	1.1560185
6	11	1.1664
6	12	2.30348
6	13	1.46251
6	14	1.61591
6	15	1.94826
6	16	0.608954
6	17	0.991069
6	18	0.702393
6	19	0.949699
6	20	0.699607
6	21	1.68403
6	22	0.841509
6	23	0.464849
6	24	0.639772
6	25	0.171334
6	26	1.41625
6	27	0.495863
6	28	0.663976
6	29	0.9720855
6	30	1.038562
6	31	2.17017
6	32	3.99772
6	33	1.25499
6	34	0.174381
